Entidad federativa,Grupos quinquenales de edad,2010 Total,2010 Hombres,2010 Mujeres,2011 Total,2011 Hombres,2011 Mujeres,2012 Total,2012 Hombres,2012 Mujeres,2013 Total,2013 Hombres,2013 Mujeres,2014 Total,2014 Hombres,2014 Mujeres,2015 Total,2015 Hombres,2015 Mujeres,2016 Total,2016 Hombres,2016 Mujeres,2017 Total,2017 Hombres,2017 Mujeres
Total,Total,5012,4091,921,5718,4621,1095,5550,4470,1077,5909,4825,1082,6337,5080,1257,6425,5141,1280,6370,5181,1187,6559,5323,1233
Total,10 a 14 años,187,111,76,249,141,108,208,126,82,174,107,67,243,132,111,236,140,96,228,113,115,209,115,94
Total,15 a 19 años,685,475,210,859,600,259,826,589,237,780,537,243,761,515,246,861,580,281,774,535,239,795,571,224
Total,20 a 24 años,761,614,147,916,729,187,877,694,183,875,712,163,1015,840,175,1010,792,218,1035,866,169,1027,840,187
Total,25 a 29 años,608,507,101,716,575,141,663,560,103,748,628,120,758,613,145,788,645,143,816,677,139,868,711,157
Total,30 a 34 años,528,448,80,559,470,89,592,479,113,651,549,102,684,549,135,708,579,129,675,574,101,746,640,106
Total,35 a 39 años,549,461,88,521,443,78,535,451,84,574,488,86,649,526,123,653,535,118,628,533,95,652,535,116
Total,40 a 44 años,352,298,54,448,385,63,438,365,73,514,433,81,520,438,82,528,442,86,552,451,101,551,447,104
Total,45 a 49 años,320,257,63,346,296,49,332,265,67,405,350,55,419,346,73,421,360,61,414,342,72,428,365,63
Total,50 a 54 años,244,215,29,271,234,37,253,214,39,285,239,46,335,274,61,303,258,45,320,275,45,352,301,51
Total,55 a 59 años,183,158,25,199,172,27,202,169,33,260,218,42,276,226,50,225,187,38,249,207,42,243,204,39
Total,60 años y más,549,504,45,585,533,52,589,528,61,594,525,69,630,578,52,636,574,62,623,557,66,614,534,80
Total,No especificado,46,43,3,49,43,5,35,30,2,49,39,8,47,43,4,56,49,3,56,51,3,74,60,12
Aguascalientes,Total,50,41,9,98,81,17,116,95,21,113,90,23,110,86,24,124,102,22,125,102,23,140,115,25
Aguascalientes,10 a 14 años,1,0,1,5,2,3,3,3,0,2,2,0,0,0,0,4,1,3,1,1,0,4,3,1
Aguascalientes,15 a 19 años,7,3,4,12,11,1,15,10,5,13,13,0,13,11,2,18,15,3,8,7,1,15,11,4
Aguascalientes,20 a 24 años,12,12,0,20,15,5,18,15,3,15,9,6,26,21,5,15,13,2,23,19,4,23,18,5
Aguascalientes,25 a 29 años,6,6,0,11,11,0,16,10,6,15,11,4,17,10,7,16,15,1,14,11,3,21,20,1
Aguascalientes,30 a 34 años,3,2,1,9,9,0,11,7,4,16,12,4,12,10,2,17,15,2,16,13,3,18,15,3
Aguascalientes,35 a 39 años,9,9,0,4,3,1,8,7,1,16,14,2,8,6,2,11,11,0,15,11,4,18,13,5
Aguascalientes,40 a 44 años,0,0,0,6,4,2,9,9,0,9,8,1,7,6,1,12,6,6,15,9,6,9,7,2
Aguascalientes,45 a 49 años,5,3,2,6,6,0,7,6,1,8,8,0,4,3,1,2,2,0,17,16,1,8,6,2
Aguascalientes,50 a 54 años,1,0,1,7,5,2,9,9,0,4,2,2,7,5,2,10,8,2,6,6,0,6,6,0
Aguascalientes,55 a 59 años,2,2,0,5,5,0,5,4,1,4,3,1,7,6,1,4,3,1,2,2,0,6,4,2
Aguascalientes,60 años y más,3,3,0,13,10,3,14,14,0,11,8,3,8,8,0,15,13,2,7,6,1,12,12,0
Aguascalientes,No especificado,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
Baja California,Total,107,91,16,149,132,16,113,97,16,123,101,22,181,152,29,150,130,20,170,142,28,166,147,19
Baja California,10 a 14 años,4,1,3,6,3,3,3,2,1,3,2,1,2,2,0,3,1,2,4,3,1,0,0,0
Baja California,15 a 19 años,4,3,1,15,11,4,8,5,3,11,9,2,8,6,2,15,8,7,11,6,5,15,10,5
Baja California,20 a 24 años,7,7,0,15,11,4,12,10,2,13,9,4,26,21,5,19,17,2,24,19,5,22,21,1
Baja California,25 a 29 años,16,13,3,20,19,1,9,9,0,13,11,2,27,23,4,21,16,5,33,28,5,18,14,4
Baja California,30 a 34 años,15,14,1,15,14,1,18,16,2,17,14,3,25,19,6,18,15,3,14,11,3,29,28,1
Baja California,35 a 39 años,19,19,0,15,12,3,15,13,2,14,10,4,20,17,3,22,22,0,29,25,4,21,19,2
Baja California,40 a 44 años,9,7,2,20,20,0,10,9,1,17,16,1,23,18,5,15,15,0,14,13,1,16,13,3
Baja California,45 a 49 años,4,2,2,13,13,0,13,11,2,14,12,2,12,9,3,8,8,0,12,10,2,18,18,0
Baja California,50 a 54 años,8,6,2,9,9,0,5,5,0,7,5,2,5,4,1,13,12,1,8,7,1,6,5,1
Baja California,55 a 59 años,3,1,2,8,8,0,9,7,2,5,4,1,9,9,0,2,2,0,5,4,1,3,3,0
Baja California,60 años y más,16,16,0,9,9,0,10,9,1,8,8,0,22,22,0,10,10,0,15,15,0,18,16,2
Baja California,No especificado,2,2,0,4,3,0,1,1,0,1,1,0,2,2,0,4,4,0,1,1,0,0,0,0
Baja California Sur,Total,45,43,2,30,24,6,44,35,9,50,40,10,59,55,4,57,48,9,55,49,6,47,42,5
Baja California Sur,10 a 14 años,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0
Baja California Sur,15 a 19 años,4,4,0,1,0,1,9,8,1,6,5,1,4,4,0,3,3,0,6,5,1,2,1,1
Baja California Sur,20 a 24 años,5,5,0,3,2,1,2,1,1,8,6,2,8,8,0,6,5,1,8,7,1,10,10,0
Baja California Sur,25 a 29 años,6,6,0,3,2,1,3,2,1,6,5,1,10,9,1,5,5,0,10,10,0,4,4,0
Baja California Sur,30 a 34 años,4,4,0,6,5,1,8,6,2,5,5,0,9,9,0,8,8,0,6,6,0,6,5,1
Baja California Sur,35 a 39 años,8,7,1,3,3,0,3,2,1,2,1,1,5,5,0,16,11,5,4,4,0,2,2,0
Baja California Sur,40 a 44 años,3,3,0,4,3,1,5,3,2,8,6,2,3,2,1,9,8,1,4,4,0,6,6,0
Baja California Sur,45 a 49 años,6,6,0,4,4,0,2,2,0,4,3,1,5,5,0,8,6,2,1,0,1,6,5,1
Baja California Sur,50 a 54 años,2,1,1,2,2,0,2,2,0,2,1,1,2,2,0,0,0,0,3,3,0,3,3,0
Baja California Sur,55 a 59 años,2,2,0,1,1,0,1,1,0,3,3,0,3,2,1,0,0,0,2,1,1,3,2,1
Baja California Sur,60 años y más,4,4,0,2,2,0,8,7,1,3,3,0,7,6,1,1,1,0,8,7,1,5,4,1
Baja California Sur,No especificado,1,1,0,0,0,0,0,0,0,3,2,1,3,3,0,1,1,0,0,0,0,0,0,0
Campeche,Total,62,53,9,81,71,10,63,48,15,77,57,20,92,70,22,86,72,14,87,69,17,74,63,11
Campeche,10 a 14 años,0,0,0,3,3,0,0,0,0,3,1,2,3,0,3,2,2,0,4,3,1,1,1,0
Campeche,15 a 19 años,2,1,1,8,6,2,6,3,3,10,6,4,7,3,4,10,9,1,8,4,4,6,6,0
Campeche,20 a 24 años,8,7,1,12,11,1,10,8,2,13,10,3,14,13,1,17,14,3,10,8,2,15,14,1
Campeche,25 a 29 años,16,13,3,15,14,1,5,5,0,9,7,2,14,11,3,9,7,2,15,12,3,8,7,1
Campeche,30 a 34 años,7,7,0,9,7,2,10,7,3,15,10,5,8,5,3,7,3,4,8,7,1,10,8,2
Campeche,35 a 39 años,5,3,2,6,6,0,11,9,2,7,7,0,11,8,3,7,6,1,10,8,2,5,5,0
Campeche,40 a 44 años,8,8,0,4,4,0,3,3,0,4,4,0,6,6,0,4,4,0,8,6,2,8,5,3
Campeche,45 a 49 años,3,3,0,7,5,2,3,1,2,3,1,2,8,6,2,12,10,2,3,3,0,7,5,2
Campeche,50 a 54 años,3,2,1,2,2,0,4,3,1,1,1,0,10,9,1,3,3,0,7,7,0,4,2,2
Campeche,55 a 59 años,4,4,0,3,3,0,2,2,0,6,5,1,3,3,0,3,2,1,5,5,0,1,1,0
Campeche,60 años y más,6,5,1,11,9,2,8,6,2,5,4,1,8,6,2,12,12,0,7,5,2,9,9,0
Campeche,No especificado,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0
Coahuila de Zaragoza,Total,169,147,22,169,143,26,150,130,20,174,153,21,174,132,42,181,144,37,171,151,20,201,165,36
Coahuila de Zaragoza,10 a 14 años,5,2,3,6,3,3,3,3,0,1,1,0,2,0,2,6,5,1,3,2,1,7,4,3
Coahuila de Zaragoza,15 a 19 años,11,10,1,16,14,2,18,15,3,24,19,5,29,24,5,24,16,8,20,16,4,25,19,6
Coahuila de Zaragoza,20 a 24 años,31,26,5,35,29,6,24,20,4,24,23,1,25,22,3,28,25,3,29,26,3,36,30,6
